Company / Artist,Segment,Domain,Location,Fit Score,Tier,Verified On,Current Release or Campaign Signal,Release / Campaign Date,Release Verification URL,Decision-Maker,Decision-Maker Role,Decision-Maker Source URL,Tailored Opening Angle,Email Status
ATC Management,Artist management company,atcmanagement.com,UK / US,5,A,2026-09-04,"Current artist and composer roster plus a live 2026 news feed confirm an active multi-client management pipeline.",2026,https://www.atcmanagement.com/news,Stephanie Haughton,Global Director of Marketing,https://www.linkedin.com/in/stephanie-haughton-a98730a7,"Your roster spans artists, composers, producers, and songwriters; ARTCOVR can give the marketing team a repeatable visual system for each release without flattening each artist's identity.","Not added; no address guessed"
Anjunadeep,Independent record label,anjunadeep.com,UK,5,A,2026-09-04,"Anjunadeep Explorations Label Sampler 03 is the imprint's 100th release and was released on 2026-08-21; the catalog also shows a July 2026 sampler.",2026-08-21,https://anjunadeep.com/products/595489-anjunadeep-explorations-label-sampler-03,Rachel Bungey,Head of Creative,https://www.linkedin.com/in/rachel-bungey-57b19795,"Lead with the 100th Explorations release: offer a flexible cover-and-social asset system that can keep a 16-track sampler visually coherent while leaving room for each artist's world.","Not added; no address guessed"
Blackstar Agency,Music marketing / creative agency,blackstaragency.com,UK / US / Canada,5,A,2026-09-04,"Blackstar's current site describes live 360 campaign management and creative direction, and its campaign-management page was updated in July 2026.",2026-07-29,https://blackstaragency.com/campaign-management,Olivia Hobbs,Founder & Director,https://www.linkedin.com/in/oliviahobbs,"Position ARTCOVR as an on-demand visual partner inside Blackstar's 360 campaigns: fast cover variants, cutdowns, and release-ready assets that extend the agency's strategy without adding another full production layer.","Not added; no address guessed"
Ghostly International,Independent record label / music company,ghostly.com,US,5,A,2026-09-04,"Ghostly's official store lists Ayurveda's Yours Sincerely for release on 2026-09-11, alongside a continuing artist and visual-artist roster.",2026-09-11,https://ghostly.com/products/yours-sincerely,Jeff Owens,Director of The Label Groups,https://www.linkedin.com/in/jeff-owens-640b363,"Open on Yours Sincerely and Ghostly's music-and-art identity: propose a visual system that can carry a textured release, limited formats, and store assets while staying unmistakably Ghostly.","Not added; no address guessed"
Hyperdub,Independent record label,hyperdub.net,UK,5,A,2026-09-04,"Hyperdub's store currently lists the 2026 vinyl reissue of Burial's Kindred EP and maintains an active releases catalog and roster.",2026,https://hyperdub.net/en-us/products/burial-kindred-ep,Kris Jones,Licensing & Publishing Manager,https://uk.linkedin.com/in/kris-jones-68510a22,"Use the Kindred reissue as the hook: show how ARTCOVR could translate Hyperdub's archival, experimental visual language into a reusable system for reissues, new records, and licensing moments.","Not added; no address guessed"
Erased Tapes,Independent record label,erasedtapes.com,London,5,A,2026-09-04,"The official 2026 news page shows Tyondai Braxton joining the collective, a Loraine James remix, and a Hatis Noit residency tied to new material.",2026-07-24,https://www.erasedtapes.com/news/2026,Anton Magnusson,Marketing & Communications Manager,https://www.linkedin.com/in/anton-magnusson-a303abb9,"Reference the Tyondai Braxton announcement and Hatis Noit's Sound Gallery residency: offer modular artwork and announcement assets that preserve Erased Tapes' avant-garde tone across releases and live moments.","Not added; no address guessed"
LUCKYME,Independent record label / design studio,luckyme.net,Scotland / UK / North America,5,A,2026-09-04,"The official shop shows a dense 2026 pipeline: Baauer's July single, Jacques Greene's July release, and a Cyst / Iglooghost / daisy* release dated 2026-09-04.",2026-09-04,https://shop.luckyme.net/,Jamie Pettinger,Label Manager,https://www.linkedin.com/in/jamie-pettinger-74b993190,"Lead with the same-day 2026 release pipeline and LuckyMe's label-plus-design-studio model: ARTCOVR can help the team scale distinctive release worlds across music, merch, and digital without losing the label's design edge.","Not added; no address guessed"
Secretly Canadian,Independent record label / music company,secretlycanadian.com,Bloomington / global,5,A,2026-09-04,"The label's 2026 news feed lists Baby Rose's Yearnalism, Jordan Patterson's EP, Eaves Wilder's debut, Wesley Joseph's album, and Yoko Ono's Season of Glass reissue.",2026-07-10,https://secretlycanadian.com/baby-rose-announces-new-album-yearnalism-out-july-10th,Robby Morris,Senior Director of Creative & Strategy,https://www.linkedin.com/in/robby-morris,"Open with the contrast between Baby Rose's Yearnalism campaign and the Yoko Ono reissue: offer a system that can flex across new-artist launches, catalog moments, and format-specific artwork.","Not added; no address guessed"
TaP Music,Artist management company / music company,tap-music.com,UK / US,5,A,2026-09-04,"TaP's current management page lists an active multi-artist roster including Dermot Kennedy, Duffy, Lana Del Rey, London Grammar, Loreen, Leigh-Anne, and Morgan Evans.",2026,https://www.tap-music.com/management,Will Bloomfield,Co-President & Head of Global Artist Management,https://www.linkedin.com/in/will-bloomfield-ab27408a,"Frame ARTCOVR as a roster-wide option for management: a fast way to explore campaign artwork and platform assets for the next release while keeping each artist's visual language distinct.","Not added; no address guessed"
The Creative Corporation,Music creative / artist branding agency,thecreativecorporation.com,London / global,5,A,2026-09-04,"Current work and services pages show ongoing artist, estate, and label projects, including integrated digital and brand work for Nick Cave and music catalog campaigns.",2026,https://thecreativecorporation.com/work,David Stansbie,Founder & Managing Director,https://www.linkedin.com/in/davestansbie,"Reference the Nick Cave digital/store work: ARTCOVR can plug into the studio's strategy-to-delivery process with rapid visual explorations for release identities, artwork, and campaign microsites.","Not added; no address guessed"
Wet Leg,Band,wetlegband.com,UK,5,A,2026-09-04,"The official site still leads with moisturizer as the new album and the 2026 store carries deluxe formats and live/merch assets.",2025-07-11,https://wetlegband.com/home,Elena P.,Artist Manager,https://www.linkedin.com/in/elena-p-6b7a8188,"Use the moisturizer world as the opening: offer a small set of playful, tactile cover and merch directions for the deluxe/live tail of the campaign, not a generic redesign.","Not added; no address guessed"
The Beths,Band,thebeths.com,New Zealand / global,5,A,2026-09-04,"The official site currently promotes Expert In A Dying Field (Deluxe), video, merch, and tour activity, with Look Out Kid listed as management.",2026,https://thebeths.com/,Alexandra Bagios,Artist Manager at Look Out Kid,https://www.linkedin.com/in/alexandra-apple-bagios,"Tie the pitch to the deluxe catalog and ongoing tour ecosystem: ARTCOVR can help extend The Beths' smart, high-energy visual language into alternate formats and social assets without overproducing.","Not added; no address guessed"
