Company / Artist,Domain,Segment,Location,Fit Score (1-5),Tier,Trigger,Trigger Date,Target Contact Role,LinkedIn URL,Email,Why Now,Evidence URL,Evidence Summary,Research Angle,Verification Status,Verified On,Current Release or Campaign Signal,Release / Campaign Date,Release Verification URL,Decision-Maker,Decision-Maker Role,Decision-Maker Source URL,Verification Notes
ATC Management,atcmanagement.com,Artist management company,,5,A,Large multi-artist management roster creates recurring release-campaign creative demand,,Head of Creative; Artist Manager; Marketing Director,,,"Large multi-artist management roster creates recurring release-campaign creative demand. Official roster spans many active artists, composers, producers and songwriters, including The Hives, The Smile, Thom Yorke, Yaeji, Future Islands, Radiohead, Nick Cave and Robbie Williams; the company identifies itself as part of ATC Music Group PLC.",https://www.atcmanagement.com/artists,"Official roster spans many active artists, composers, producers and songwriters, including The Hives, The Smile, Thom Yorke, Yaeji, Future Islands, Radiohead, Nick Cave and Robbie Williams; the company identifies itself as part of ATC Music Group PLC.",label-prospects,verified_current_signal,2026-09-04,Current artist and composer roster plus a live 2026 news feed confirm an active multi-client management pipeline.,2026,https://www.atcmanagement.com/news,Stephanie Haughton,Global Director of Marketing,https://www.linkedin.com/in/stephanie-haughton-a98730a7,Previously verified in the current outreach review.
Amberlea Bruch,amberleabruch.com,independent musician/solo artist,Canada,5,A,"Official site continues to promote 2026 material, and River Country published a 2026-05-23 Rising Stars headliner interview covering Amberlea Bruch's current show cycle.",2026-05-23,Amberlea Bruch / artist manager,,,"Official site continues to promote 2026 material, and River Country published a 2026-05-23 Rising Stars headliner interview covering Amberlea Bruch's current show cycle.",https://www.rivercountry.fm/2026/05/23/rising-stars-headliner-interview-amberlea-bruch-2/,"Official site continues to promote 2026 material, and River Country published a 2026-05-23 Rising Stars headliner interview covering Amberlea Bruch's current show cycle.",artist-prospects,verified_current_signal,2026-09-04,"Official site continues to promote 2026 material, and River Country published a 2026-05-23 Rising Stars headliner interview covering Amberlea Bruch's current show cycle.",2026-05-23,https://www.rivercountry.fm/2026/05/23/rising-stars-headliner-interview-amberlea-bruch-2/,Amberlea Bruch,Artist / creative lead,https://amberleabruch.com/,Named artist is public; no separate manager or marketing contact was found. Do not guess an email.
Anjunadeep,anjunadeep.com,Independent record label,,5,A,Active catalog page shows a continuing multi-artist release pipeline,,Label Manager; Creative Director; Head of A&R,,,"Active catalog page shows a continuing multi-artist release pipeline. Official music catalog is sorted by release date and currently lists multiple pre-orders/out-now albums, EPs, singles and a label sampler across Because of Art, Dusky, Cephas Azariah, Ezequiel Arias, Rossie and others.",https://anjunadeep.com/music,"Official music catalog is sorted by release date and currently lists multiple pre-orders/out-now albums, EPs, singles and a label sampler across Because of Art, Dusky, Cephas Azariah, Ezequiel Arias, Rossie and others.",label-prospects,verified_current_signal,2026-09-04,Anjunadeep Explorations Label Sampler 03 is the imprint's 100th release and was released on 2026-08-21; the catalog also shows a July 2026 sampler.,2026-08-21,https://anjunadeep.com/products/595489-anjunadeep-explorations-label-sampler-03,Rachel Bungey,Head of Creative,https://www.linkedin.com/in/rachel-bungey-57b19795,Previously verified in the current outreach review.
Blackstar Agency,blackstaragency.com,music marketing / creative agency,"UK, US & Canada",5,A,,,Creative Services Director / Artist Marketing Director,,,"Official site describes Blackstar as an independent specialist music marketing agency with a trans-Atlantic team, offering campaign management, digital marketing, audience development, social management, creative services and digital advertising for artists and labels.",https://blackstaragency.com/,"Official site describes Blackstar as an independent specialist music marketing agency with a trans-Atlantic team, offering campaign management, digital marketing, audience development, social management, creative services and digital advertising for artists and labels.",agency-prospects,verified_current_signal,2026-09-04,"Blackstar's current site describes live 360 campaign management and creative direction, and its campaign-management page was updated in July 2026.",2026-07-29,https://blackstaragency.com/campaign-management,Olivia Hobbs,Founder & Director,https://www.linkedin.com/in/oliviahobbs,Previously verified in the current outreach review.
CMAT (Ciara Mary-Alice Thompson),cmatbaby.com,independent musician/solo artist,"Dublin, Ireland",5,A,"DIY reports CMAT's 2026 video campaign for 'The Jamie Oliver Petrol Station' and lists active 2026 live dates, including Belfast dates on 2026-08-31 and 2026-09-01.",2026-03-12,CMAT / artist manager / creative director,,,"DIY reports CMAT's 2026 video campaign for 'The Jamie Oliver Petrol Station' and lists active 2026 live dates, including Belfast dates on 2026-08-31 and 2026-09-01.",https://diymag.com/news/cmat-jamie-oliver-video-the-jamie-oliver-petrol-station,"DIY reports CMAT's 2026 video campaign for 'The Jamie Oliver Petrol Station' and lists active 2026 live dates, including Belfast dates on 2026-08-31 and 2026-09-01.",artist-prospects,verified_current_signal,2026-09-04,"DIY reports CMAT's 2026 video campaign for 'The Jamie Oliver Petrol Station' and lists active 2026 live dates, including Belfast dates on 2026-08-31 and 2026-09-01.",2026-03-12,https://diymag.com/news/cmat-jamie-oliver-video-the-jamie-oliver-petrol-station,CMAT (Ciara Mary-Alice Thompson),Artist / creative lead,https://diymag.com/artist/cmat,Named artist is public; no separate manager or marketing contact was found. Do not guess an email.
Cover Design Agency,coverdesignagency.com,album-cover design agency,,5,A,"The official site currently presents album-cover services and a live designer roster, providing a current creative-service/campaign pipeline signal rather than a single dated release.",,Founder / Creative Director,,,"The official site currently presents album-cover services and a live designer roster, providing a current creative-service/campaign pipeline signal rather than a single dated release.",https://www.coverdesignagency.com/designers,"The official site currently presents album-cover services and a live designer roster, providing a current creative-service/campaign pipeline signal rather than a single dated release.",agency-prospects,verified_current_service_signal,2026-09-04,"The official site currently presents album-cover services and a live designer roster, providing a current creative-service/campaign pipeline signal rather than a single dated release.",,https://www.coverdesignagency.com/designers,,,,"Current service signal is public, but no named founder or creative director was identified on the reviewed pages. Do not guess."
Drea Lake,drealake.com,independent musician/solo artist,Canada,5,A,"Rechecked 2026-09-04: the official site and public music pages still show the 2025 debut-album cycle, but no dated 2026 release, live date, or campaign was independently verified.",2026-09-04,Drea Lake / artist manager,,,"Rechecked 2026-09-04: the official site and public music pages still show the 2025 debut-album cycle, but no dated 2026 release, live date, or campaign was independently verified.",https://drealake.com/bio,"Rechecked 2026-09-04: the official bio describes the debut album as recognized in 2025 and songs releasing gradually; no dated 2026 release, live date, or campaign was independently verified.",artist-prospects,stale_or_unverifiable,2026-09-04,"No current public release/campaign signal was independently verified in the 2026-09-04 recheck; the official pages remain centered on the 2025 album cycle.",,https://drealake.com/bio,,,,Recheck dated 2026-09-04. No named public management or marketing route found. Hold from outreach until a dated current source is independently verified; do not guess.
Erased Tapes,erasedtapes.com,Independent record label,"London, UK",5,A,Current news/catalog and extensive roster show ongoing project output,,Label Manager; Creative Director; Artist/Release Manager,,,Current news/catalog and extensive roster show ongoing project output. Official site calls Erased Tapes a truly independent London-based label founded in 2007 and shows current news plus catalog item ERATP164; its public Bandcamp artist page lists a large international roster.,http://erasedtapes.com/,Official site calls Erased Tapes a truly independent London-based label founded in 2007 and shows current news plus catalog item ERATP164; its public Bandcamp artist page lists a large international roster.,label-prospects,verified_current_signal,2026-09-04,"The official 2026 news page shows Tyondai Braxton joining the collective, a Loraine James remix, and a Hatis Noit residency tied to new material.",2026-07-24,https://www.erasedtapes.com/news/2026,Anton Magnusson,Marketing & Communications Manager,https://www.linkedin.com/in/anton-magnusson-a303abb9,Previously verified in the current outreach review.
Ghostly International,ghostly.com,Independent record label / music company,"Brooklyn, New York, USA",5,A,Documented 2025 release/reissue sequence with multiple artists and imprint roster,2025-04-25,Label Manager; Creative Director; Product/Marketing Manager,,,"Documented 2025 release/reissue sequence with multiple artists and imprint roster. Official Artists page lists a broad roster and Spectral Sound imprint; official product/news copy documents HTRK releases including the February 7, 2025 reissue and April 25, 2025 Rhinestones release.",https://ghostly.com/artists,"Official Artists page lists a broad roster and Spectral Sound imprint; official product/news copy documents HTRK releases including the February 7, 2025 reissue and April 25, 2025 Rhinestones release.",label-prospects,verified_current_signal,2026-09-04,"Ghostly's official store lists Ayurveda's Yours Sincerely for release on 2026-09-11, alongside a continuing artist and visual-artist roster.",2026-09-11,https://ghostly.com/products/yours-sincerely,Jeff Owens,Director of The Label Groups,https://www.linkedin.com/in/jeff-owens-640b363,Previously verified in the current outreach review.
Growthr,growthr.com,music marketing / creative agency,,5,A,,,Head of Creative / Music Marketing Director,,,"Official music page positions Growthr for labels and artists and advertises full-stack creative, marketing, web and brand services, including release artwork, campaign visuals, branding/design, and release marketing.",https://growthr.com/music,"Official music page positions Growthr for labels and artists and advertises full-stack creative, marketing, web and brand services, including release artwork, campaign visuals, branding/design, and release marketing.",agency-prospects,verified_current_signal,2026-09-04,"Growthr's current music page showcases full creative for a Miracle release, including music video, album artwork, brand, concept, shoot, post, and delivery.",2026,https://growthr.com/music,Sean Garschi,Founder & CEO,https://www.linkedin.com/in/seangarschi,Previously verified in the current outreach review.
